	10776.Healthy	10850.Healthy	10543.Healthy	10246.Healthy	10156.Gastrectomy	10684.Healthy	10463.Healthy	10100.Healthy	10342.Gastrectomy	10357.Healthy	10234.Gastrectomy	10537.Healthy	10304.Healthy	10701.Healthy	10197.Healthy	10486.Healthy	10132.Healthy	10680.Gastrectomy	10036.Healthy	10487.Healthy	10166.Gastrectomy	10317.Healthy	10183.Healthy	10791.Gastrectomy	10319.Gastrectomy	10208.Healthy	10554.Gastrectomy	10465.Healthy	10784.Healthy	10341.Healthy	10114.Healthy	10558.Gastrectomy	10215.Healthy	10794.Healthy	10423.Gastrectomy	10207.Healthy	10112.Gastrectomy	10205.Gastrectomy	10354.Healthy	10741.Healthy	10632.Healthy	10107.Healthy	10696.Gastrectomy	10538.Gastrectomy	10623.Gastrectomy	10360.Gastrectomy	10258.Healthy	10673.Gastrectomy	10192.Gastrectomy	10657.Healthy	10064.Gastrectomy	10433.Gastrectomy	10025.Healthy	10037.Healthy	10257.Gastrectomy	10060.Healthy	10297.Gastrectomy	10378.Healthy	10244.Healthy	10291.Gastrectomy	10647.Healthy	10501.Gastrectomy	10250.Healthy	10519.Healthy	10540.Gastrectomy	10733.Healthy	10219.Healthy	10563.Gastrectomy	10369.Gastrectomy	10355.Gastrectomy	10058.Healthy	10176.Gastrectomy	10048.Healthy	10451.Gastrectomy	10751.Gastrectomy	10105.Healthy	10703.Gastrectomy	10599.Gastrectomy	10080.Healthy	10807.Healthy	10395.Gastrectomy	10742.Gastrectomy	10321.Gastrectomy	10302.Healthy	10810.Gastrectomy	10167.Gastrectomy	10659.Healthy	10231.Healthy	10690.Gastrectomy	10457.Gastrectomy	10698.Healthy	10782.Gastrectomy	10340.Healthy	10189.Gastrectomy	10226.Healthy	10106.Healthy
-_SDMA	21.68647024	16.53367384	12.52344196	19.80416346	13.0	0.0	109.16464679999999	30.7992799	2.551930305	0.0	25.74492792	36.34774017	20.70390994	5.234838719	787.0	0.0	4.307045989	0.0	20.67560963	0.0	11.0	0.0	22.91743526	0.0	30.0	14.97563217	0.0	5.536090814	20.345329800000002	31.61074935	26.31533068	23.0	18.79348663	47.31368642	28.0	22.23961217	0.0	0.0	145.0620842	18.72220226	0.0	13.511909699999999	0.0	0.0	20.0	0.0	28.03492058	0.0	0.0	39.83347259	26.0	0.0	34.83186131	30.6026896	0.0	36.98484525	0.0	18.60107414	7.440366702	13.0	27.98852211	0.0	129.8721125	0.0	19.0	10.55992649	25.48099733	0.0	0.0	29.00906285	30.04292654	0.0	39.49699545	0.0	0.0	3.041098775	0.0	78.0	21.43213665	15.92014014	0.0	0.0	18.97373287	0.0	32.0	0.0	21.99363389	14.72548669	0.0	28.0	20.33729435	35.0	14.75547578	0.0	7.584125059	14.11749733
-_gamma-Glu-2AB	21.45140579	0.0	0.0	14.05017886	0.0	0.0	0.0	0.0	0.0	8.075111888	0.0	46.39922794	0.0	35.35903283	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.43397677	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.87561820000001	38.18387138	0.0	0.0	12.38768585	0.0	0.0	8.270427012999999	0.0	0.0	0.0	0.0	0.0	0.0	28.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	32.93587411	0.0	0.0	74.56093547	6.799302278	0.0	0.0	5.254038213	7.434504447999999	0.0	20.0	0.0	88.76786276	0.0	0.0	0.0	0.0	18.20927462	0.0	0.0	0.0
C00003_NAD+	75.51805529	149.4946721	473.6051387	449.657462	0.0	402.789023	367.12139460000003	517.0860993	694.8649319	0.0	0.0	280.6012541	0.0	364.0050458	0.0	478.86218319999995	0.0	0.0	351.0698711	0.0	0.0	0.0	340.6694706	552.0	0.0	482.156976	0.0	510.98080949999996	386.5660079	0.0	472.9881098999999	0.0	531.593324	293.6477934	0.0	488.67205920000004	0.0	66.65677547	0.0	70.21709149	264.7703757	166.2281819	0.0	0.0	804.0	0.0	377.15800310000003	0.0	676.0575026	658.2344022999997	0.0	0.0	794.8929395	1204.83242	322.8282614	320.2428822	0.0	447.5793102	505.8953035	0.0	507.02406490000004	277.10659710000004	76.98564256	552.1010507	0.0	448.79740400000003	0.0	0.0	0.0	525.3371741999998	365.9533909	0.0	475.8053535	0.0	0.0	379.5622074	409.0	0.0	90.98245608	146.5151492	0.0	0.0	161.50012019999997	499.51376229999994	695.0	0.0	418.2902413	0.0	0.0	0.0	617.1910671	617.0	292.5095389	202.8274264	745.410904	306.08595069999996
C00008_ADP	0.0	26.04086857	25.66611648	0.0	0.0	0.0	77.46879411	34.58782359	0.0	0.0	0.0	30.91493221	0.0	44.46210872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.43955863	24.43878868	0.0	0.0	85.95186186	0.0	19.38927206	109.26760959999999	0.0	0.0	0.0	0.0	22.34060686	0.0	0.0	0.0	0.0	0.0	26.94818328	30.08984398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.48626198	57.67803061	0.0	0.0	40.38380148	152.1871879	0.0	0.0	0.0	29.06107837	24.53459024	0.0	40.75764579	0.0	0.0	25.54253262	0.0	56.0936259	125.50916129999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.47811843	0.0	0.0	112.5540643	0.0	0.0	0.0	49.23107372	50.95997381	0.0	0.0	34.08901448	0.0	38.8611845	0.0	27.62593354	0.0
C00015_UDP	0.0	24.86470879	18.12750918	0.0	0.0	0.0	36.30160021	0.0	0.0	0.0	0.0	0.0	0.0	33.2904712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7048034	31.3008414	0.0	0.0	102.3143864	0.0	0.0	56.14470152	0.0	0.0	0.0	0.0	16.23266395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	34.50411882	0.0	0.0	0.0	42.96220466	103.1359756	0.0	0.0	0.0	24.09236642	0.0	0.0	0.0	0.0	21.36612614	62.11342208	0.0	30.85357748	71.59137172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.24966102	0.0	0.0	0.0	29.94192698	0.0	0.0	0.0	0.0	0.0	0.0	28.73831422	0.0	0.0	0.0	0.0	0.0
C00019_SAM+	14.88837919	17.08423663	36.34112068	59.35029518	0.0	32.49291914	40.22849354	54.97568269	47.52011496	20.80100425	31.63714343	62.36821147	55.42053132	33.65778818	0.0	41.53502892	5.424222355	0.0	28.23351378	12.56723162	0.0	124.099251	24.60600772	15.0	0.0	55.17040582	7.4	28.55127701	177.2281299	41.707958700000006	52.25462111	0.0	11.82994544	29.35523306	0.0	49.36713738	0.0	5.730376589	25.76614726	13.84731942	18.03340793	11.71896642	0.0	0.0	51.0	0.0	62.00268608	8.1	87.98517579	37.90475553	0.0	0.0	84.62984126	56.43292262	32.21787354	34.12034273	9.376807703999999	90.13430897	75.79416686	10.0	50.38993667	23.87648152	52.63525453	48.04718735	0.0	26.64091674	27.15245813	0.0	0.0	85.31438837	30.07807729	0.0	28.99595752	0.0	0.0	15.20388809	27.0	0.0	7.106866424	3.952934073	0.0	9.9	12.09201496	53.93439681	22.0	0.0	31.53981489	99.21733909999999	0.0	0.0	47.19171432	0.0	41.45296742	12.75413744	54.53603878	25.38938451
C00020_AMP	124.824881	77.36186455	76.37864644	0.0	0.0	119.4757898	131.5392396	0.0	64.22660063	99.48475343	64.87799382	57.76186062	42.18298628	74.81750599	0.0	36.80169653	0.0	0.0	81.81852668	0.0	0.0	147.7850914	38.53598005	86.0	0.0	132.79412390000002	0.0	66.02803116	72.60386412	85.07654839	74.53831486	0.0	181.0045878	78.94078513	0.0	117.7180027	0.0	23.39955524	119.0719846	0.0	111.56030890000001	0.0	0.0	0.0	354.0	0.0	22.67908131	0.0	152.3575102	117.6694229	0.0	0.0	91.70595068	191.68549769999998	58.10432779	0.0	35.74441378	111.93722109999999	70.48569171	0.0	79.53916179	41.63945404	127.2209084	78.52116847	0.0	165.63046409999995	105.9904229	0.0	0.0	138.4778385	42.82194269	0.0	105.0012555	0.0	0.0	91.79526873	0.0	0.0	0.0	60.06935743	0.0	0.0	600.2689257000002	109.2401047	150.0	0.0	139.80396090000002	127.1761791	0.0	0.0	164.7562739	194.0	122.50125220000001	52.06500294	99.22920303	80.23038293
C00021_SAH	0.0	0.0	0.0	2.8358557089999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.263188904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.612832995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.411906609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.77223326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.07400336	0.0	0.0	0.0
C00024_Acetyl CoA	0.0	11.421143800000001	17.93211766	0.0	0.0	0.0	97.71053807	86.10752007	0.0	0.0	0.0	72.8555317	46.18541977	17.70529671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.1401428	41.73088775	0.0	0.0	105.03524270000001	0.0	29.62104163	157.534861	0.0	16.78015431	0.0	42.72624791	0.0	0.0	109.09470900000001	0.0	0.0	0.0	0.0	15.44070027	0.0	0.0	0.0	0.0	0.0	20.72227497	0.0	95.50933786	79.15714855	0.0	0.0	90.17670459	78.59885890000002	0.0	0.0	0.0	82.39138444	0.0	0.0	54.85035736	0.0	24.54433609	78.39199688	0.0	22.62194924	166.76332230000003	0.0	0.0	0.0	0.0	0.0	36.80619315	0.0	0.0	0.0	0.0	0.0	0.0	9.767971692	0.0	0.0	0.0	46.96865761	0.0	0.0	71.98226789	99.66728908	0.0	0.0	44.90822661	15.0	0.0	0.0	89.72504856	0.0
C00025_Glu	16485.46148	10564.65821	24264.619069999997	31953.97516	24928.0	24779.37288000001	16283.73573	9898.944649	31664.7017	8596.394016	13762.50489	7883.9417730000005	6479.537186	25678.7091	45847.0	23441.50829	4405.3566009999995	31043.0	9455.154657	3389.64389	33187.0	9845.530024	13723.14679	21152.0	38371.0	16564.327019999993	5647.0	21966.76988	11192.74498	18758.82141	15557.39254	26370.0	18863.27025	20409.53561	14265.0	11605.25363	19902.0	9672.954124	18339.231180000002	15558.731740000001	14687.973590000001	8768.596903	25105.0	29366.0	15931.0	27773.0	10485.95897	15630.0	26453.37488	14392.196109999999	34821.0	12550.0	13233.348170000001	27718.71238	17925.31344	7851.344558	16816.68004	10192.54939	22791.755530000002	38887.0	13656.90167	14440.32611	22827.82548	19027.73904	53398.0	17906.95688	9367.078591	20427.0	41949.0	14510.250409999999	13610.897340000001	19015.0	11023.453140000001	25459.0	2721.0	21030.36373	8408.0	54399.0	15858.101040000001	15127.608269999999	16842.0	21819.0	16560.96094	11344.79248	11827.0	9561.0	5594.191457	23804.25984	15913.0	41864.0	15039.79236	16447.0	13509.7344	18372.80571	25597.379259999998	8938.775428
